Graph,PreprocessingTime(ms),ShortcutsAdded,AvgTriangles,MaxTriangles
osm1.txt,3001,446,1.66,36
osm2.txt,7003,1001,1.93,55
osm3.txt,15005,2253,2.38,91
osm4.txt,38011,5504,2.07,55
osm5.txt,75015,10982,2.05,66
osm6.txt,153029,22100,2.03,105
osm7.txt,379083,56761,2.14,171
osm8.txt,767190,114426,2.21,276
osm9.txt,1532432,235095,2.51,630
osm10.txt,4533281,589670,2.62,1485
osm11.txt,8266947,1376429,2.73,3182
