Graph,AvgDijkstraTime(ms),AvgCCHQueryTime(ms),Mismatches
osm1.txt,0.074,0.115,0
osm2.txt,0.155,0.246,0
osm3.txt,0.284,0.477,0
osm4.txt,0.824,1.003,0
osm5.txt,1.671,2.021,0
osm6.txt,3.288,4.012,0
osm7.txt,10.480,9.731,0
osm8.txt,18.940,19.355,0
osm9.txt,50.390,41.288,0
osm10.txt,173.581,159.136,0
osm11.txt,397.249,361.743,0
